BinBase name	ret.index	quant mz	BB id	KEGG id	PubChem id	InChI	PValue	FoldChange	PValue.Adjusted
239585	596598	85	239585				0.741407564323008	1.05913978494624	0.872283319101219
483487	235984	110	483487				0.946199119397936	1.02225	0.973594639558678
385065	1147670	204	385065				0.044462828267163	0.746666666666667	0.15680783709488
200484	800844	163	200484				0.237777400333639	1.00964187327824	0.462103586741137
229201	693537	230	229201				0.959825501403539	1.13309352517986	0.980323817679406
269268	708688	174	269268				0.847371323799081	0.93854748603352	0.931696700252085
211997	1100607	309	211997				0.0646178039053276	1.19909502262443	0.195120427478832
270439	637911	260	270439				0.843380435631978	1.03636363636364	0.930988723536275
617346	765617	152	617346				0.263592728476579	1.11224489795918	0.494597854519168
288810	274062	152	288810				0.104283568258465	1.16015625	0.278491378817404
324627	611572	312	324627				0.273368836057131	1.03541666666667	0.500407572787944
211467	832207	98	211467				0.698381247601043	0.989528795811518	0.840239938520005
274206	335001	249	274206				0.539464850102862	1.27526132404181	0.726626124628345
218951	686095	187	218951				0.00196926557477758	2.42105263157895	0.0224468932262092
232722	765061	424	232722				0.943991290829609	1.05232558139535	0.973491018668034
221606	580123	159	221606				0.0270295047392612	0.737903225806452	0.106731890508878
226845	795371	232	226845				0.233178145324146	1.32547169811321	0.459093950763629
271128	611642	312	271128				0.319895117411785	1.06369426751592	0.539385197971696
359447	905449	159	359447				0.032326112510776	1.11394557823129	0.122415278524414
310871	557438	252	310871				0.0595489486390803	0.729641693811075	0.183410761808367
222050	606068	223	222050				0.77321132625408	0.864130434782609	0.895297325136303
228143	673081	187	228143				0.0117975721199407	1.49714285714286	0.0612413294316023
470303	433814	172	470303				0.764207601686128	0.943589743589744	0.891305791213063
221505	752306	369	221505				0.00535172121039131	0.699115044247788	0.0380383876800121
418858	321024	86	418858				0.0525818253711072	0.926495016611296	0.169879743506654
624232	380326	113	624232				0.162912720994005	1.33682373472949	0.360798768054248
330990	1224935	207	330990				0.53341379096538	0.977011494252874	0.722689652275676
414988	616859	86	414988				0.0396058300988339	0.66020942408377	0.14407790161938
213296	299506	146	213296				0.255949673183361	1.14615384615385	0.486448939979121
620889	1081211	208	620889				0.903727408593042	0.994011976047904	0.950738570264434
225555	685994	266	225555				0.550846304701335	1.12432432432432	0.735523100497158
617556	294282	187	617556				0.89262134460153	1.17056856187291	0.948754602230139
231657	286430	187	231657				0.209104733038935	1.09967845659164	0.431278511892803
673048	588927	184	673048				0.54996571706458	0.917431192660551	0.735523100497158
273745	317543	211	273745				0.366822079071958	0.99070553443177	0.57710261310694
409349	762401	98	409349				0.977338750066107	1.11656441717791	0.985874459673671
474826	846935	98	474826				0.65437388665449	1.878125	0.81488068904144
241063	991837	174	241063				0.000127810222997641	1.80263157894737	0.00611243563311552
199553	594210	292	199553				0.118365572864336	0.537859007832898	0.298824561001766
349922	521251	231	349922				0.00214960242750165	0.735159817351598	0.0225708254887673
213143	873684	446	213143				0.45060221813167	1.30081300813008	0.640548383928712
300133	577437	85	300133				0.121007755814542	0.995633187772926	0.299039217583304
428330	762332	85	428330				0.689292770425893	1.03827460510328	0.836741320508673
310249	533908	154	310249				0.130941749341357	1.33888888888889	0.311830351524263
200942	783186	100	200942				0.0348536645330216	0.899736147757256	0.129858008179484
438057	808905	98	438057				0.857080297850944	1.36012861736334	0.931696700252085
232095	981412	352	232095				0.6813732823141	0.954301075268817	0.833522594574063
222115	249620	85	222115				0.367247117431689	1.11034482758621	0.57710261310694
309631	232910	130	309631				0.443215168497836	0.91703056768559	0.633948631102168
202687	782008	357	202687				0.420145699419121	1.01744186046512	0.614135042565727
199213	589860	217	199213				0.793870752378441	0.883040935672515	0.910095006448734
622135	455205	171	622135				0.000135213053480264	0.25531914893617	0.00611243563311552
241881	1181077	295	241881				0.257467465139787	0.916201117318436	0.486448939979121
270086	339656	157	270086				0.844338257925756	1.02711323763955	0.930988723536275
200906	565964	275	200906				0.00265265662405739	0.662431941923775	0.0238570817195833
199239	773115	211	199239				0.305175700585548	0.972332015810277	0.527344624143714
200791	800737	217	200791				0.0605086553020412	0.756849315068493	0.185132442049954
213968	452663	252	213968				0.0011886599485696	0.651376146788991	0.0183053632079718
204079	424144	138	204079				0.111390302808795	1.21230769230769	0.28841949680322
223973	1028825	243	223973				0.63132837010788	1.04886561954625	0.79825141153467
626325	613559	121	626325				0.0010959858387172	2.58924205378973	0.0174601881892188
362093	883789	204	362093				0.0857712204783515	1.39285714285714	0.239524634855403
616800	867822	144	616800				0.20647597823848	1.51465798045603	0.427766376440259
205734	570304	102	205734				0.0155324011152519	1.1007371007371	0.0710492011410532
217893	708324	223	217893				0.740890356602801	0.884892086330935	0.872283319101219
303845	873301	174	303845				0.0913188169685865	1.14948453608247	0.248172314349923
228872	609571	140	228872				0.860686011342154	0.79375	0.93342004046966
267647	959212	204	267647				0.312149556706971	1.09485094850949	0.536108160589668
236652	567535	99	236652				0.172148232516197	0.879795396419437	0.368205941770755
226851	788409	373	226851				0.835511446841054	1.12931034482759	0.927899731828286
